# File modified by Jason Curtis:
#   - certain columns were removed, others renamed
#   - the row with the column names is no longer commented out so that the names can be read properly.
#
# Original File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Tue Dec  7 06:20:02 CET 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries
# Kind of output: isochrone tables
log_Age Initial_Mass Mass log_Lum log_Temp log_g label Gmag G_BPmag G_RPmag
8.0 3.2000000477 3.199 2.095 4.1031 4.212 1 0.267 0.2 0.359
8.0 3.2717626095 3.271 2.137 4.1085 4.202 1 0.192 0.122 0.287
8.0 3.3873028755 3.385 2.204 4.1169 4.184 1 0.072 -0.003 0.171
8.0 3.4000000954 3.398 2.211 4.1178 4.182 1 0.059 -0.016 0.158
8.0 3.4462878704 3.444 2.237 4.1211 4.174 1 0.011 -0.065 0.113
8.0 3.5487720966 3.546 2.294 4.1278 4.157 1 -0.094 -0.173 0.011
8.0 3.6000001431 3.598 2.323 4.131 4.148 1 -0.147 -0.228 -0.04
8.0 3.7192981243 3.717 2.388 4.1381 4.125 1 -0.27 -0.354 -0.159
8.0 3.8000001907 3.798 2.431 4.1425 4.108 1 -0.355 -0.441 -0.242
8.0 3.8474290371 3.846 2.457 4.145 4.098 1 -0.404 -0.491 -0.289
8.0 3.9710302353 3.971 2.523 4.1508 4.069 1 -0.538 -0.628 -0.421
8.0 4.0 4.001 2.539 4.152 4.061 1 -0.57 -0.661 -0.452
8.0 4.0832476616 4.083 2.583 4.1552 4.039 1 -0.662 -0.755 -0.543
8.0 4.1852698326 4.183 2.637 4.1585 4.008 1 -0.779 -0.873 -0.657
8.0 4.1999998093 4.198 2.645 4.1589 4.004 1 -0.796 -0.89 -0.674
8.0 4.2554445267 4.253 2.675 4.1604 3.986 1 -0.861 -0.956 -0.738
8.0 4.3358445168 4.333 2.718 4.1618 3.956 1 -0.962 -1.057 -0.838
8.0 4.4000000954 4.397 2.753 4.1624 3.93 1 -1.046 -1.141 -0.922
8.0 4.405371666 4.403 2.755 4.1625 3.928 1 -1.052 -1.148 -0.929
8.0 4.5106654167 4.508 2.812 4.1625 3.882 1 -1.195 -1.291 -1.071
8.0 4.5914793015 4.588 2.857 4.1612 3.84 1 -1.314 -1.409 -1.191
8.0 4.5999999046 4.597 2.861 4.1609 3.835 1 -1.328 -1.423 -1.205
8.0 4.6650648117 4.663 2.897 4.1585 3.795 1 -1.432 -1.526 -1.31
8.0 4.7503509521 4.748 2.945 4.1539 3.737 1 -1.578 -1.671 -1.459
8.0 4.8000001907 4.798 2.973 4.1497 3.697 1 -1.674 -1.764 -1.557
8.0 4.823138237 4.821 2.986 4.1477 3.678 1 -1.718 -1.808 -1.603
8.0 4.8834576607 4.882 3.021 4.1406 3.619 1 -1.847 -1.934 -1.736
8.0 4.9397597313 4.938 3.055 4.1328 3.56 1 -1.975 -2.059 -1.868
8.0 4.9868898392 4.986 3.084 4.1245 3.502 1 -2.097 -2.176 -1.994
8.0 5.0 4.999 3.094 4.1229 3.487 1 -2.129 -2.208 -2.028
8.0 5.0393662453 5.039 3.122 4.118 3.442 1 -2.227 -2.304 -2.129
8.0 5.0412430763 5.041 3.123 4.1178 3.44 1 -2.232 -2.308 -2.134
